ymd,interest rating,m2(%),m2(abs),cpi(%),cpi(abs),expected inflation,supply,종소세율,취득세율
201303,2.75,5.03,1862405.5,1.46,92.95,-21.95,1241,0.0017928,0.022
201304,2.75,5.1,1867726.2,1.33,92.82,-20.51,807,0.0017928,0.022
201305,2.5,4.82,1870289.8,1.15,92.82,-23.68,2942,0.0017928,0.022
201306,2.5,4.85,1884193.2,1.17,92.71,-26.32,1924,0.0017928,0.022
201307,2.5,4.62,1890728.6,1.62,92.91,-21.62,957,0.0017928,0.022
201308,2.5,3.94,1888658.4,1.5,93.24,-16.67,2359,0.0017928,0.022
201309,2.5,4.61,1903187.2,0.98,93.42,-17.14,4317,0.0017928,0.022
201310,2.5,4.73,1908557.6,0.86,93.13,-12.12,4285,0.0017928,0.022
201311,2.5,5.08,1923339.2,1.2,93.12,-9.38,6561,0.0017928,0.022
201312,2.5,5.26,1932026.4,1.14,93.23,-6.45,2694,0.0017928,0.022
201401,2.5,5.21,1937045.6,1.08,93.73,-9.38,2740,0.0017928,0.022
201402,2.5,5.23,1954340.8,1.01,93.98,-9.38,2616,0.0017928,0.022
201403,2.5,5.51,1964953.9,1.29,94.15,-12.5,4409,0.0017928,0.022
201404,2.5,5.5,1970361.6,1.5,94.21,-6.45,5855,0.0017928,0.022
201405,2.5,5.99,1982390.9,1.67,94.37,-3.45,6903,0.0017928,0.022
201406,2.5,6.11,1999376.4,1.66,94.25,0,1479,0.0017928,0.022
201407,2.5,6.52,2013935.2,1.59,94.39,-3.45,2626,0.0017928,0.022
201408,2.25,7.58,2031777.2,1.41,94.55,-6.67,4458,0.0017928,0.022
201409,2.25,7.06,2037600.8,1.15,94.49,-3.45,673,0.0017928,0.022
201410,2,7.47,2051149.8,1.15,94.2,-6.9,5315,0.0017928,0.022
201411,2,8.31,2083253.5,0.96,94.02,-6.9,1136,0.0017928,0.022
201412,2,8.11,2088729.8,0.83,94.01,-10.34,1115,0.0017928,0.022
201501,2,8.01,2092223.5,0.98,94.64,-10.34,2034,0.0017928,0.022
201502,2,7.96,2109892.2,0.64,94.59,-10.34,1257,0.0017928,0.022
201503,1.75,8.29,2127887.8,0.47,94.6,-10.71,499,0.0017928,0.022
201504,1.75,9.02,2148114.8,0.43,94.62,-13.79,4759,0.0017928,0.022
201505,1.75,9.3,2166741,0.55,94.89,-14.29,1447,0.0017928,0.022
201506,1.5,9.01,2179561,0.7,94.91,-10.71,1868,0.0017928,0.022
201507,1.5,9.26,2200511,0.73,95.08,-7.14,1849,0.0017928,0.022
201508,1.5,9.2,2218660.2,0.7,95.21,-10.71,3797,0.0017928,0.022
201509,1.5,9.44,2230000.8,0.5,94.97,-10.71,2670,0.0017928,0.022
201510,1.5,8.84,2232432,0.81,94.97,-7.41,1049,0.0017928,0.022
201511,1.5,7.66,2242848.2,0.82,94.79,-7.41,678,0.0017928,0.022
201512,1.5,7.53,2246070,1.13,95.07,-3.85,666,0.0017928,0.022
201601,1.5,8.08,2261356.5,0.62,95.23,-3.85,3807,0.0017928,0.022
201602,1.5,8.31,2285313.5,1.11,95.64,-3.85,1915,0.0017928,0.022
201603,1.5,7.83,2294544.8,0.84,95.39,0,562,0.0017928,0.022
201604,1.5,7.03,2299081.2,1,95.57,0,1741,0.0017928,0.022
201605,1.5,6.74,2312801.2,0.78,95.63,0,1791,0.0017928,0.022
201606,1.25,7.1,2334256.2,0.75,95.61,-4,1862,0.0017928,0.022
201607,1.25,6.9,2352245,0.37,95.43,-7.69,2707,0.0017928,0.022
201608,1.25,7.15,2377323,0.48,95.68,-4,3764,0.0017928,0.022
201609,1.25,6.86,2383040.5,1.35,96.25,0,2511,0.0017928,0.022
201610,1.25,7.11,2391059.2,1.49,96.38,0,236,0.0017928,0.022
201611,1.25,7.29,2406393.5,1.53,96.24,0,2176,0.0017928,0.022
201612,1.25,7.48,2414041,1.34,96.34,0,10494,0.0017928,0.022
201701,1.25,6.92,2417807.5,2.24,97.37,12,1773,0.0017928,0.022
201702,1.25,5.91,2420285.5,2.09,97.63,8,2105,0.0017928,0.022
201703,1.25,6.21,2436994.8,2.28,97.56,4,2408,0.0017928,0.022
201704,1.25,6.57,2450221,1.96,97.44,4,3183,0.0017928,0.022
201705,1.25,6.12,2454386.8,2.01,97.55,4.17,1608,0.0017928,0.022
201706,1.25,5.85,2470861,1.81,97.34,8.33,1875,0.0017928,0.022
201707,1.25,5.1,2472110.5,2.16,97.5,4.17,2984,0.0017928,0.022
201708,1.25,4.56,2485630,2.49,98.06,8.33,4371,0.0017928,0.022
201709,1.25,4.59,2492388.2,2,98.17,4,3183,0.0017928,0.022
201710,1.25,4.75,2504594.2,1.76,98.08,4,919,0.0017928,0.022
201711,1.5,4.8,2521786.2,1.16,97.35,0,2468,0.0017928,0.022
201712,1.5,4.71,2527641.2,1.41,97.7,0,2956,0.0017928,0.022
201801,1.5,5.52,2551196,0.75,98.11,-7.14,1486,0.0017928,0.022
201802,1.5,6.22,2570764.5,1.25,98.86,-3.7,1831,0.0017928,0.022
201803,1.5,5.8,2578361.8,1.21,98.75,0,1451,0.0017928,0.022
201804,1.5,5.74,2590840.8,1.52,98.93,0,1360,0.0017928,0.022
201805,1.5,5.94,2600274.2,1.47,98.98,4,3420,0.0017928,0.022
201806,1.5,6.13,2622268.2,1.47,98.78,0,3588,0.0017928,0.022
201807,1.5,6.69,2637421.8,1.12,98.59,4,2890,0.0017928,0.022
201808,1.5,6.67,2651503.5,1.43,99.46,3.85,1784,0.0017928,0.022
201809,1.5,6.44,2652829.5,2.09,100.22,-3.85,3027,0.0017928,0.022
201810,1.5,6.78,2674506.5,2,100.04,-3.85,6374,0.0017928,0.022
201811,1.75,6.79,2692974.8,2.03,99.33,-4,3197,0.0017928,0.022
201812,1.75,6.81,2699882.2,1.33,98.99,-4,13330,0.0017928,0.022
201901,1.75,6.49,2716722,0.8,98.88,-11.54,2261,0.0028236,0.022
201902,1.75,6.21,2730482,0.46,99.31,-11.54,10658,0.0028236,0.022
201903,1.75,6.76,2752723.8,0.38,99.12,-11.54,621,0.0028236,0.022
201904,1.75,6.65,2763058,0.56,99.48,-19.23,980,0.0028236,0.022
201905,1.75,6.59,2771633,0.67,99.65,-15.38,1555,0.0028236,0.022
201906,1.75,6.75,2799248,0.73,99.49,-19.23,4512,0.0028236,0.022
201907,1.5,6.6,2811543.8,0.61,99.19,-19.23,2482,0.0028236,0.022
201908,1.5,6.83,2832566,-0.03,99.42,-25.93,2255,0.0028236,0.022
201909,1.5,7.56,2853272,-0.42,99.79,-28,9091,0.0028236,0.022
201910,1.25,7.47,2874176,0,100.04,-32,1309,0.0028236,0.022
201911,1.25,7.74,2901465.5,0.16,99.48,-29.17,3528,0.0028236,0.022
201912,1.25,7.87,2912434,0.73,99.72,-29.17,6378,0.0028236,0.022
202001,1.25,7.81,2929009.2,1.21,100.09,-21.74,3620,0.0030744,0.022122222
202002,1.25,8.21,2954603.8,0.85,100.16,-26.09,8581,0.0030744,0.022122222
202003,0.75,8.41,2984304.2,0.83,99.94,-26.09,4953,0.0030744,0.022122222
202004,0.75,9.15,3015816.8,0.02,99.5,-19.05,5000,0.0030744,0.022122222
202005,0.5,9.9,3046050.5,-0.21,99.44,-27.27,3796,0.0030744,0.022122222
202006,0.5,9.93,3077283.8,0.22,99.71,-23.81,4318,0.0030744,0.022122222
202007,0.5,10.02,3093299.8,0.44,99.63,-19.05,4543,0.0030744,0.022122222
202008,0.5,9.45,3100373.5,0.77,100.19,-10,4629,0.0030744,0.022122222
202009,0.5,9.18,3115239,0.94,100.74,5.56,7788,0.0030744,0.022122222
202010,0.5,9.69,3152811.5,0.15,100.18,5.88,613,0.0030744,0.022122222
202011,0.5,9.72,3183501,0.61,100.09,5.88,2703,0.0030744,0.022122222
202012,0.5,9.79,3197671.2,0.62,100.33,5.88,6240,0.0030744,0.022122222
202101,0.5,10.05,3223486.8,0.95,101.04,0,2846,0.0031248,0.022122222
202102,0.5,10.72,3271405.8,1.42,101.58,17.65,8884,0.0031248,0.022122222
202103,0.5,11.02,3313182.5,1.9,101.84,23.53,3651,0.0031248,0.022122222
202104,0.5,11.38,3358875,2.49,101.98,23.53,1263,0.0031248,0.022122222
202105,0.5,10.96,3379754,2.62,102.05,37.5,2664,0.0031248,0.022122222
202106,0.5,10.94,3413899.8,2.35,102.05,43.75,2992,0.0031248,0.022122222
202107,0.5,11.38,3445243,2.64,102.26,35.29,4666,0.0031248,0.022122222
202108,0.75,12.49,3487634,2.55,102.75,33.33,3874,0.0031248,0.022122222
202109,0.75,12.79,3513680.8,2.42,103.17,26.32,2355,0.0031248,0.022122222
202110,0.75,12.39,3543363.8,3.16,103.35,33.33,1636,0.0031248,0.022122222
202111,1,12.92,3594723.2,3.78,103.87,50,3969,0.0031248,0.022122222
202112,1,13.21,3620057.5,3.69,104.04,44.44,7851,0.0031248,0.022122222
