ymd,Í∞ïÎÇ®Íµ?Í∞ïÎèôÍµ?Í∞ïÎ∂ÅÍµ?Í∞ïÏÑúÍµ?Í¥Ä?ÖÍµ¨,Í¥ëÏßÑÍµ?Íµ¨Î°úÍµ?Í∏àÏ≤úÍµ??∏ÏõêÍµ??ÑÎ¥âÍµ??ôÎ?Î¨∏Íµ¨,?ôÏûëÍµ?ÎßàÌè¨Íµ??úÎ?Î¨∏Íµ¨,?úÏ¥àÍµ??±ÎèôÍµ??±Î∂ÅÍµ??°ÌååÍµ??ëÏ≤úÍµ??ÅÎì±?¨Íµ¨,?©ÏÇ∞Íµ??Ä?âÍµ¨,Ï¢ÖÎ°úÍµ?Ï§ëÍµ¨,Ï§ëÎûëÍµ?,,,,,,,,,,,,,,,,,,
201302,3299.40393,1992.335866,1299.307441,1485.966373,1659.555988,2054.420025,1403.92113,1144.459583,1324.56457,1198.365237,1400.083841,1924.71709,2331.228432,1552.629529,2720.503419,1824.415368,1463.336127,2873.506414,1814.555441,1757.819148,2310.448369,1497.820677,1883.329931,1892.542009,1343.621919
201303,3277.982686,1947.621398,1341.861156,1509.269269,1614.554182,2040.017673,1443.274373,1145.779757,1322.169597,1165.264295,1464.636208,1910.314786,2318.614634,1488.021544,2925.689592,1873.561273,1414.230484,2742.51442,1870.496282,1853.252013,2263.546503,1409.518379,1849.87865,1892.972497,1311.810324
201304,3323.818209,1933.499192,1372.149072,1479.40818,1586.232936,2083.73533,1432.583475,1188.248331,1318.895233,1168.116628,1485.106471,1977.069271,2151.893246,1410.637907,2920.068881,1904.133145,1432.899203,2940.241935,1925.881935,1732.38013,2158.316162,1450.269323,1745.302191,1780.732186,1301.197334
201305,3197.745772,1821.544849,1366.432117,1481.174036,1534.990018,2069.365215,1482.69895,1181.38007,1446.890081,1176.304399,1461.21306,1910.702335,2122.842968,1589.585818,2981.071291,1944.896092,1450.487465,2766.797653,1894.212286,1748.508737,2329.719732,1447.907766,1734.192542,2008.891416,1306.488293
201306,3393.408149,1806.940269,1346.32559,1486.922332,1467.977501,2033.697009,1401.265065,1132.575981,1324.420265,1166.33598,1474.642383,1871.030418,2152.311511,1478.594323,2827.796404,1786.471015,1410.212092,2652.576687,1812.99223,1707.499541,2209.445404,1403.408433,1798.820143,2028.892702,1321.698065
201307,3232.144845,1800.180531,1295.211376,1457.03212,1779.47753,2026.939606,1449.205108,1150.539576,1307.159249,1159.6243,1497.969997,1906.362234,2189.356966,1454.557158,2812.071187,1851.563951,1376.488187,2621.649811,1598.764898,1864.494817,2376.17453,1406.159314,1960.782885,1946.401653,1315.892347
201308,3363.342019,1844.709919,1306.064191,1493.956261,1514.099202,2014.946906,1478.972274,1156.34878,1332.494549,1185.375506,1559.365043,1828.409779,1994.822384,1453.997752,3011.256423,1912.383033,1435.709774,2942.764528,1742.077193,1702.743272,2355.899256,1335.629812,1855.135081,1875.712942,1319.323611
201309,3366.298336,1920.262924,1359.497097,1513.112686,1532.872959,2052.087839,1519.186702,1191.126131,1362.536139,1207.71563,1472.63238,1953.050793,2018.658952,1490.24437,2819.251903,1957.956657,1460.332658,2767.80196,1905.839375,1706.597658,2301.847321,1415.716426,1844.591357,2034.892149,1340.098799
201310,3319.132492,1860.115921,1383.904209,1544.522005,1509.311944,2033.83191,1446.171363,1271.060014,1375.183144,1205.901685,1505.858363,1948.882143,2016.880783,1450.041847,2838.980714,2010.241797,1469.785209,2815.195153,1872.507869,1778.076013,2306.698015,1454.461561,1821.972937,2053.379037,1340.859061
201311,3281.660241,1889.271737,1349.931352,1554.574591,1542.16187,2053.592302,1467.175693,1252.125836,1362.333379,1220.504157,1505.42794,1957.171007,1956.23404,1456.08142,2873.37721,1931.253065,1466.750837,2914.542795,1838.980785,1715.541772,2319.863628,1312.570107,1776.083764,2134.29872,1307.764682
