ymd,면적가격,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
201111,3987.598686919791,3581.8192161131237,2027.1827979231489,1332.361092366537,1586.6745818899174,1579.1734551282163,2135.024238594188,1467.562184366701,1204.643417379698,1418.1789295401068,1256.5252292849589,1573.0897485064897,2030.1156200146293,2054.5260842711955,1435.3537732943116,2814.5604424392213,1893.4443693836436,1481.0693841087932,2887.9759279823825,1953.418152596929,1810.7919586806718,2590.674198312205,1331.7169328635243,2102.875432965829,1908.7310572510926,1371.9659681717708
201112,4274.108089014481,3618.523859570436,2158.2758921304553,1347.406518187256,1569.831831501543,1543.4132673308197,2037.457595533464,1385.5475395138403,1232.0334037181592,1433.5844243736176,1227.0260351022353,1566.8307095372943,2019.0983769557924,2083.9343764155215,1463.6742197545482,2921.8083778046193,1906.3003812663023,1499.8274984043337,2947.3023875350937,1980.3844149964618,1816.414564469077,2618.0176804594635,1381.8473101392178,1832.6220484138585,1844.796607632069,1346.749652194842
201201,2521.978021978022,3414.673732767583,2159.864687716539,1372.035001712356,1564.045153890887,1557.9342295526774,2084.8119511688597,1456.3987392426754,1262.097440079552,1402.0256104067198,1267.425573393472,1497.2952809569795,1883.4543980414103,1978.908664555944,1487.190460431632,2963.723020486377,1994.7076740599591,1490.3177912988199,2920.2079372584244,1921.7528796582885,1739.0157303642734,2522.747576585855,1404.0832207479102,1732.6515741025942,1973.8105681861314,1337.366120944234
201202,1982.9744616925389,3614.70108598665,2184.6576470149566,1329.1851735998018,1575.624745949004,1602.3336136060573,2061.9243856265657,1447.2414383007838,1193.0532649493098,1380.773316391161,1222.7233838481495,1530.655419241085,1869.7351460327864,1943.292577148363,1557.6995825114673,2812.007211724308,1952.4504350408627,1486.1459080925592,2898.1519201519595,1876.242068135634,1830.0259673652504,2614.1180744711905,1351.6679660512991,1976.3739932969766,1948.8466988027442,1353.443313863027
201203,2362.6373626373625,3555.3789858280174,2082.4532372443186,1297.6688646642547,1498.7662174536638,1539.1121358269324,2137.8807851795564,1393.326176979211,1225.0777981917113,1374.878397408531,1243.938239824788,1487.5077408018674,1976.3459312302045,1979.7554236574254,1456.7250343593907,2924.659576572885,2020.8646379466418,1475.1240052443584,2789.9681344716887,1797.6844048637206,2025.0535544946918,2574.1116996773176,1271.1480270563948,1900.6672397473183,1955.3454074243714,1362.0426632431713
201204,2466.454802259887,3601.4082176154884,2107.818806889606,1290.757302415231,1504.24900552687,1463.4129675354234,2063.5655442275556,1461.1292460879436,1194.0018724283625,1361.2757069030185,1188.7134010909829,1569.6181634636914,1838.9496810359233,2109.2926107561557,1539.9985586713383,2839.723876986049,1916.9178477852229,1469.5426248697258,2927.34474742814,1788.802339695988,1823.0553286654492,2557.9784118132393,1338.8322357426118,1740.8571506837716,1907.7991661586118,1322.427635644278
201205,3425.414364640884,3561.582015207303,2093.85715082408,1282.8787115661771,1526.3815109507116,1672.0342084233382,2074.800240823036,1412.12359514815,1222.8713639561377,1340.5691908773913,1220.88023233328,1521.5754063052427,1798.6392464975524,1972.0289682148136,1518.5403623576715,2895.791263110802,2009.8992385550034,1415.3411490188016,2756.796460417654,2086.2764130097667,1767.6564037286107,2557.9711554546475,1384.9474227415321,2029.9678117522674,1912.8734217832584,1313.3021479448316
201206,2527.4725274725274,3250.2872165171684,2095.6182926160564,1320.519175018761,1473.531204153339,1591.3056781824137,2062.642004763972,1412.4933272134103,1113.8650301048401,1335.9920944332803,1172.089271726208,1416.681035482925,1806.034832295411,1956.8140543206232,1470.73432490122,2786.058283592944,1818.8543445975272,1378.7080845485093,2851.4221463024783,1830.6819072953544,1739.5763371549224,2440.1749730063193,1327.903046928607,2035.0240589960135,2015.9590050490206,1281.6173487583849
201207,4367.454545454546,3342.9359267892337,2027.8906542343138,1374.63843556884,1456.8769502859188,2117.0607946269565,1878.7816534347246,1475.0575394498103,1154.9483488213161,1329.1190805616152,1161.23777161963,1424.0910022825137,1805.0143026969308,2148.887748082493,1452.861824107654,2957.338441204064,1806.6876327596838,1428.1314920376878,2875.732168761413,1846.7209255894138,1684.7429910799635,2363.769813851857,1334.7939909478168,2011.4060293562027,2139.8148563537347,1277.4177962928406
201208,2559.7484276729556,3135.7319733875056,1864.6353974363078,1307.5899361658355,1419.9203735575497,2037.7535535447103,1997.5621767952837,1540.5009923751463,1178.8995410366633,1344.2584979087294,1150.5744426341266,1406.4764396326655,1886.2027659943137,1978.9556026786615,1424.7758902958783,2884.141436497825,1818.9565881067347,1334.562384327028,2728.207193982531,1852.5361956661673,1729.2356819802314,2283.6209882060643,1338.7659363796804,1904.355070292332,1926.460502575229,1320.9716140302367
201209,2323.164599396581,3397.6256690214645,2060.228475870287,1278.9085240262766,1451.1313251732665,1827.0937165897305,1933.291911136026,1392.0074593379777,1138.3120335085032,1313.2826783888245,1168.7159482449313,1488.9182029324581,1818.410116410138,2140.2235184057295,1420.9417166024705,2823.1685948122695,1808.8572403148999,1404.376167358336,2892.5651554429182,1854.4869627617843,1711.7990669361138,2258.63820395802,1407.5156116213914,1900.169867031372,1821.832403209177,1275.0766207633337
201210,1048.9757475865317,3320.6577041674404,1962.4720389791576,1299.2516577717072,1482.1575435762265,1491.4532068594465,2040.189006186528,1386.3662478627011,1146.6312073204517,1328.5611596762944,1143.9285423241158,1491.1839563015817,1929.0388390594367,1948.2819262876565,1483.738397208457,2899.8820350672445,1818.0827521019019,1402.7671226361624,2849.1349149284983,2017.0133144924478,1740.7201864585923,2601.4829305102826,1438.5466548465117,1886.502954695215,1947.2111466411206,1321.7857326915134
201211,3500.0000000000005,3329.498764049296,1933.932187556238,1361.6415234466554,1505.4401345958483,1431.8982809608153,2043.987470661453,1444.8648974651621,1121.4648749577018,1320.5735209427576,1175.2074877376465,1428.8339945547834,1904.204632192017,2302.8264459219217,1447.0704160474254,2881.861620195149,1846.713760147884,1394.1393663573401,2857.2449134862345,1814.3976438460825,1730.417348687339,2560.274868938128,1430.7230697009986,1926.549873846118,1861.0178854897968,1290.3406045877512
201212,1855.2088113813677,3312.723727122577,1917.350273244009,1323.8044148177548,1500.5467198048232,1908.6784951359127,2124.5262459182513,1425.7057220254192,1143.2220064225987,1313.3505083763118,1157.368331694412,1480.7249465122984,2236.924374467116,2329.2132359965162,1473.3379738843935,2887.837840684171,1823.222030923207,1419.2373898252276,2814.56555783671,1809.8931191725342,1733.2978829365077,2497.7447404058557,1543.8264098685534,1883.892849471149,1780.5610353309326,1277.852846142741
